Номер	Год	Завод	ID детали
50283	2019	1487	614912709
50295	2019	1487	614912712
50190	2019	1487	614912723
50200	2019	1487	614912726
50259	2019	1487	614912729
50267	2019	1487	614912732
50235	2019	1487	614912746
50284	2019	1487	614912749
50224	2019	1487	614912755
50325	2019	1487	614912789
50245	2019	1487	614912795
50036	2019	1487	614929849
50090	2019	1487	614929858
50029	2019	1487	614929861
50188	2019	1487	614929875
50287	2019	1487	614929881
50071	2019	1487	614929995
50043	2019	1487	614930004
50094	2019	1487	614930015
50091	2019	1487	614930018
50093	2019	1487	614930038
50080	2019	1487	614930041
50025	2019	1487	614939885
50076	2019	1487	614939891
50063	2019	1487	614939902
50122	2019	1487	614939905
50162	2019	1487	614939911
50149	2019	1487	614939914
50175	2019	1487	614943294
50273	2019	1487	614943297
50323	2019	1487	614943741
50062	2019	1487	614943764
50092	2020	1487	614954120
50139	2020	1487	614954126
50080	2020	1487	614954149
50165	2020	1487	614954189
50239	2019	1487	614966961
25527	2005	14	615398367
71208	2003	5	615463974
57150	1987	5	615475338
703767	1986	29	615492868
7388	2010	1175	615508411
78132	2004	5	615545136
256	1989	60	615593509
18226	1988	60	615597963
125302	1991	29	615601764
18925	1991	39	615608783
1475	2004	39	615632378
6827	1974	87	615633145
397	2007	39	615677430
58668	1988	29	615700493
64854	1972	5	615702010
156092	1976	5	615704489
62597	1970	5	615705190
513796	1992	39	615707417
68780	1991	5	615711147
5346	2003	29	615717854
512870	1990	39	615739992
229319	2008	5	615777204
43543	1999	5	615849973
1287	2004	5	615893683
145202	2012	5	615895887
15873	1988	39	615918002
723177	2008	29	615937112
1346	1997	39	615949861
27265	1968	39	615964294
678265	1986	29	615979579
488591	1990	5	616000658
71985	1990	5	616000790
633465	1989	29	616032520
96374	1983	29	616055861
565358	1989	29	616083947
610794	1989	39	616090156
11151	2021	1226	616114770
5043	1987	60	616117959
456882	1981	29	616125464
321437	1983	39	616138022
265017	1977	5	616186663
4257	1994	5	616226105
111358	2021	5	616234821
111192	2021	5	616234824
592441	1973	5	616239109
35018	2021	1226	616247330
6534	2003	1175	616249815
163879	1980	5	616254913
968840	2002	29	616261854
119064	1981	5	616263695
56431	1991	5	616272929
56342	2012	1175	616278210
729217	1982	29	616278591
44446	1987	29	616279181
35185	2020	1226	616282750
36672	2020	1226	616282753
36955	2020	1226	616282759
154306	1965	5	616289093
53805	1982	39	616289783
110737	1988	39	616291990
853349	1982	29	616299587
40078	2021	12	616307442
55473	1977	5	616311426
965284	2010	29	616327622
40043	2021	12	616335969
40073	2021	12	616335980
40087	2021	12	616335983
40085	2021	12	616335989
570580	1985	29	616350662
63242	1989	29	616351223
1101	2005	39	616353132
417278	1980	29	616354678
5689	1980	5	616354758
83455	1965	6712	616358986
214094	1984	29	616359704
315900	1980	29	616363328
25565	1992	5	616378754
4626	1977	119	616378946
774446	1990	29	616382309
226120	1981	5	616392279
345623	1988	29	616392348
40007	2021	12	616404273
40090	2021	12	616404284
40096	2021	12	616404287
40158	2021	12	616404293
26324	2019	2002	616406746
67109	1969	5	616414377
100934	2011	1175	616418227
50266	1989	5	616422060
9301	2021	2002	616434709
24777	1986	186	616444041
5872	1973	29	616444602
71124	1996	12	616464433
18996	1995	5	616491291
347598	1980	29	616520660
4222	1976	119	616520680
9320	2021	1557	616523302
768416	1986	29	616527659
161454	2010	5	616531878
718101	2019	29	616535339
114700	2021	5	616547401
522479	2021	5	616547407
4076	2021	1557	616547421
813614	1982	29	616548102
146647	1984	29	616548151
525677	2021	5	616554617
620787	1985	39	616560382
33395	1976	29	616561115
36494	1988	39	616561327
520700	1985	29	616570089
224274	1983	5	616573784
55522	1996	39	616573847
295139	1992	29	616573916
11461	1975	5	616574016
416267	1988	29	616577643
5137	1972	93	616587089
341552	1993	29	616587126
415730	1986	39	616591005
36093	2004	5	616596071
618069	1981	29	616596180
373201	1993	29	616599692
2399	2005	119	616600205
89875	1978	5	616600872
206217	1988	5	616604364
11073	2001	39	616608600
22153	1987	39	616610432
12921	1988	93	616610541
8864	1991	5	616613269
2036	2004	1175	616613658
44573	2014	1175	616616492
719215	1982	29	616621095
114673	2021	5	616623179
305053	1993	29	616623980
295876	2008	5	616624676
53919	2010	39	616624845
101041	1983	29	616625457
17504	2002	5	616625497
43739	1991	5	616631222
207606	1983	5	616631225
84248	1978	5	616631228
163513	1979	5	616631231
23382	1986	39	616631245
871037	1978	6714	616631251
1851	1972	39	616632891
75982	1994	5	616634093
3216	2011	119	616640766
473780	1981	29	616645102
4815	2006	39	616645503
143765	2007	5	616647435
820638	1990	29	616651139
13917	2011	39	616660325
37732	1988	39	616662652
251767	2008	5	616667799
677813	1986	29	616671503
6327	1987	5	616674998
61494	1997	39	616675977
36656	2009	1175	616679784
236173	1992	29	616684023
1622	1970	93	616689373
6165	2019	1422	616690306
64253	1990	5	616697471
91033	1987	29	616701438
521821	2021	5	616703934
521495	2021	5	616703937
875926	1990	29	616704295
202043	2008	5	616708732
5910	1992	5	616727581
30412	1994	5	616727598
63502	1990	39	616728139
22850	1991	5	616746430
153873	2012	5	616746608
935441	2010	29	616750177
4286	1978	39	616755825
33633	2011	39	616757834
400407	2021	12	616761799
400588	2021	12	616761813
401365	2021	12	616761833
401755	2021	12	616761836
401816	2021	12	616761839
165699	2010	5	616766021
65764	2005	5	616766814
400182	1993	29	616766834
185234	1975	5	616767349
67531	2005	1175	616770306
4891	1987	39	616771488
101429	2012	5	616779294
42662	1978	5	616779712
314859	1986	5	616780078
5242	1987	5	616780107
50778	1971	6712	616781372
617696	1988	39	616791159
460292	1985	29	616791505
123767	2021	5	616801203
124344	2021	5	616801209
14440	1991	29	616802952
37202	1982	5	616804355
56754	2008	39	616807203
706247	2017	5	616808185
33489	2013	14	616809599
107662	2010	5	616812029
349299	1992	29	616815942
16007	2000	5	616816002
29308	1978	39	616817153
42676	1973	39	616820954
25208	1972	186	616825105
329707	1984	29	616826310
359334	1993	29	616829181
6579	1989	60	616829321
139620	1982	5	616830366
713114	2017	5	616830732
51542	1990	39	616839397
60516	2008	5	616839440
24237	2009	1175	616839609
1036	2005	5	616843313
664675	2008	29	616844023
714566	2017	5	616844203
184136	2004	29	616844343
47696	1986	5	616848245
95788	2004	5	616851743
5424	1996	5	616856440
546223	2021	5	616863138
122235	2007	5	616874980
423146	1986	60	616875372
242389	2021	5	616878962
243282	2021	5	616878976
50164	1973	5	616879594
591729	1995	29	616879686
49287	2004	5	616885491
926	1976	29	616887704
727951	2017	5	616891113
6813	1969	93	616893240
84890	1973	6712	616897705
167073	1979	29	616897711
119314	1984	5	616897762
60717	2009	60	616897791
626263	2008	29	616897805
12632	2008	1164	616897808
368984	1990	5	616897828
53742	2005	5	616897851
138852	2010	5	616897871
260436	2011	5	616897900
242290	1992	29	616904475
366338	2013	5	616909284
6470	2006	1175	616909364
390839	1984	29	616909882
16821	1978	39	616915730
16213	2006	39	616922259
27168	1979	39	616923891
6028	1990	119	616928405
129979	2009	5	616934659
2487	2010	1175	616936823
99284	2010	1226	616938750
1007	2010	33	616939285
401470	2021	12	616943639
402304	2021	12	616943656
402345	2021	12	616943662
150	2021	1275	616943685
428	2021	1275	616943713
140431	2010	5	616948313
8381	2006	5	616948462
119809	2021	5	616950022
550584	2021	5	616950025
119812	2021	5	616950028
119872	2021	5	616950039
119846	2021	5	616950042
78725	1970	5	616951399
905195	2010	29	616953437
181086	1992	29	616956325
106625	2011	1175	616965147
292288	2008	5	616969272
402358	2021	12	616971508
600115	2021	5	616976952
600156	2021	5	616976958
600180	2021	5	616976961
600555	2020	5	616976981
935559	1997	29	616977250
176116	1985	5	616978383
514245	1981	29	616983650
10646	2002	1175	616984755
567181	2021	5	616989607
124790	2021	5	616989621
574869	2021	1226	616989819
569010	2021	5	616993165
594389	2008	29	617004200
666530	1996	29	617007898
1619	1986	119	617007901
102111	2005	5	617008634
311966	1985	39	617008705
192863	2012	5	617009853
479745	1989	29	617015472
15900	2011	39	617017931
487048	2007	29	617021403
6076	2004	1175	617022428
306845	2008	5	617030234
47364	2008	39	617031147
18852	2004	39	617034616
242837	2008	5	617037685
22728	2019	1175	617050182
3739	2019	2002	617050589
262470	2011	5	617054516
39336	2011	1175	617054519
45950	2005	5	617061904
11613	2007	1175	617061958
39354	2006	29	921253
909568	1983	29	1022735
16974	1977	186	1235510
860447	1986	29	1315959
568712	1981	29	1334900
391097	1984	29	1336082
21748	2013	14	1356546
30148	2002	14	1383865
130203	1987	5	1385448
21881	2004	39	1431808
13329	2009	39	1452335
913567	2010	29	1477868
28648	2005	29	1482528
49195	1978	29	1482751
30454	1990	186	1571765
946524	2002	29	1708301
25427	1992	39	613342717
42930	1995	39	613349564
583902	2007	29	613371227
33193	2009	1175	613484460
43383	1977	5	613537424
308744	2008	5	613551527
5035	2008	60	613688567
829557	1988	29	613926451
13713	1982	60	613934074
64506	1986	39	613981728
179082	1991	39	614059166
262175	2008	5	614079046
149449	1979	29	614099644
774551	1990	29	614270006
25518	1977	5	614351282
39856	1979	39	614355046
55474	1987	5	614364143
820861	1990	29	614364421
301	1999	29	614366828
16864	1978	186	614381707
46970	1984	29	614384535
30566	1969	5	614395410
118392	1979	39	614620848
50163	2020	1487	614678672
50150	2020	1487	614698635
50184	2020	1487	614698644
50121	2020	1487	614698655
33175	1976	39	614725837
659116	1989	29	614810179
50148	2019	1487	614912669
50169	2019	1487	614912672
50207	2019	1487	614912678
50279	2019	1487	614912689
50310	2019	1487	614912692
50042	2019	1487	614912698
50052	2019	1487	614912715
50170	2019	1487	614912721
50304	2019	1487	614912735
50204	2019	1487	614912752
50247	2019	1487	614912792
50179	2019	1487	614912801
50172	2019	1487	614929847
50317	2019	1487	614929878
50095	2019	1487	614929987
50168	2019	1487	614930007
50059	2019	1487	614930016
50041	2019	1487	614930044
50047	2019	1487	614939888
50111	2019	1487	614939908
50321	2019	1487	614943283
50194	2019	1487	614943286
50277	2019	1487	614943292
50126	2019	1487	614943758
50005	2020	1487	614954103
50038	2020	1487	614954106
50055	2020	1487	614954112
50067	2020	1487	614954115
38209	1988	39	615089626
878283	1990	29	615261848
42294	1975	186	615296919
8707	2006	5	615355943
201059	2014	5	615403517
35191	1977	5	615442672
1182	1997	39	615457388
820878	1986	29	615556174
512876	1988	39	615601607
21553	2012	5	615616675
56121	2007	39	615627753
59959	1992	39	615653317
447832	1990	29	615657096
4343	1985	39	615673412
637170	1981	29	615677780
951297	1991	29	615686204
515542	1992	39	615690798
70137	2008	5	615690807
15071	2007	1164	615691488
39114	1988	5	615700416
4697	1997	39	615702013
26463	2005	1175	615707813
14895	2002	39	615708322
76356	1983	29	615709848
594667	1985	29	615714903
